timestamp,temperature,air_pressure,humidity,dew_point,clouds,visibility,wind_speed,wind_degrees,owm_weather_id_enc,owm_weather_main_enc,owm_weather_description_enc,owm_weather_icon_enc
1745167358,22.11,1025,49,10.91,0,10000,4.63,340,0,0,0,1
1745169786,22.1,1025,48,10.59,0,10000,5.14,310,0,0,0,1
1745170366,22.41,1025,50,11.49,0,10000,3.09,290,0,0,0,1
1745170958,22.94,1025,48,11.36,0,10000,5.14,330,0,0,0,1
1745173386,22.38,1025,42,8.85,0,10000,4.63,290,0,0,0,1
1745173966,23.19,1025,44,10.28,0,10000,5.14,330,0,0,0,1
1745174558,22.76,1025,45,10.22,0,10000,3.6,10,0,0,0,1
1745176986,23.58,1025,41,9.57,0,10000,3.1,320,0,0,0,1
1745177566,23.53,1024,43,10.24,0,10000,3.1,20,0,0,0,1
1745178158,23.11,1024,40,8.79,0,10000,2.57,360,0,0,0,1
1745180586,23.27,1024,42,9.65,0,10000,3.6,40,0,0,0,1
1745181166,22.49,1024,40,8.23,0,10000,3.6,40,0,0,0,1
1745181758,22.72,1024,42,9.16,0,10000,3.09,50,0,0,0,1
1745184186,21.95,1024,45,9.49,0,10000,4.12,10,0,0,0,1
1745184766,21.57,1024,45,9.14,0,10000,3.6,30,0,0,0,1
1745185358,21.17,1024,44,8.45,0,10000,3.6,70,0,0,0,1
1745187786,20.47,1024,45,8.15,0,10000,3.1,90,0,0,0,1
1745188366,20.11,1026,40,6.1,0,10000,3.09,60,0,0,0,1
1745188958,20.13,1026,40,6.12,0,10000,2.57,90,0,0,0,1
1745191386,19.44,1026,43,6.55,0,10000,3.1,110,0,0,0,1
1745191966,18.1,1026,45,5.99,0,10000,2.6,90,0,0,0,1
1745192558,18.1,1026,42,5.0,0,10000,2.6,100,0,0,0,1
1745194986,17.5,1026,49,6.68,0,10000,2.06,90,0,0,0,0
1745195566,17.02,1026,48,5.94,0,10000,2.1,120,0,0,0,0
1745196158,16.83,1026,48,5.77,0,10000,2.1,120,0,0,0,0
1745198586,15.86,1026,53,6.31,0,10000,0.0,0,0,0,0,0
1745199166,15.61,1025,53,6.07,0,10000,0.0,0,0,0,0,0
1745199758,15.63,1025,57,7.15,0,10000,0.0,0,0,0,0,0
1745202186,14.79,1025,61,7.35,0,10000,0.0,0,0,0,0,0
1745202766,14.44,1025,61,7.02,0,10000,0.0,0,0,0,0,0
1745203358,14.21,1025,62,7.04,0,10000,1.54,90,0,0,0,0
1745205786,13.82,1025,65,7.36,0,10000,0.0,0,0,0,0,0
1745206366,13.85,1025,66,7.61,40,10000,0.0,0,2,1,2,3
1745206958,13.58,1025,68,7.79,40,10000,0.0,0,2,1,2,3
1745209386,13.31,1025,71,8.17,100,10000,0.0,0,1,1,1,4
1745209966,13.54,1025,72,8.6,100,10000,0.0,0,1,1,1,4
1745210558,13.46,1025,73,8.72,100,10000,0.0,0,1,1,1,4
1745212986,13.77,1025,76,9.62,100,10000,0.0,0,1,1,1,4
1745213566,13.88,1025,76,9.73,100,10000,2.06,120,1,1,1,4
1745214158,14.1,1025,75,9.74,100,10000,2.06,120,1,1,1,4
1745216586,14.07,1025,73,9.31,100,10000,1.54,140,1,1,1,4
1745217166,13.91,1025,73,9.16,100,10000,2.06,110,1,1,1,4
1745217758,14.28,1025,73,9.51,100,10000,2.06,140,1,1,1,4
1745220186,14.19,1025,71,9.01,100,10000,1.54,90,1,1,1,4
1745220766,14.1,1024,71,8.93,100,10000,0.45,5,1,1,1,4
1745221358,14.1,1024,70,8.72,100,10000,0.45,5,1,1,1,4
1745223786,13.89,1024,68,8.09,100,10000,1.54,140,1,1,1,4
1745224366,13.83,1024,67,7.81,100,10000,1.54,130,1,1,1,4
1745224958,13.84,1024,67,7.82,100,10000,0.45,5,1,1,1,4
1745227386,13.77,1024,65,7.31,100,10000,2.06,110,1,1,1,4
1745227966,13.59,1024,65,7.14,100,10000,2.1,110,1,1,1,4
1745228558,13.59,1024,65,7.14,100,10000,1.54,120,1,1,1,4
1745230986,13.41,1024,67,7.41,100,10000,0.0,0,1,1,1,2
1745231566,12.93,1024,66,6.74,100,10000,2.1,100,1,1,1,2
1745232158,12.93,1024,66,6.74,100,10000,1.54,90,1,1,1,2
1745234586,13.6,1024,64,6.93,100,10000,1.54,90,1,1,1,2
1745235166,13.61,1024,64,6.94,100,10000,1.54,90,1,1,1,2
1745235758,14.0,1024,63,7.08,100,10000,2.06,100,1,1,1,2
1745238186,14.77,1024,58,6.6,75,10000,2.6,100,3,1,3,2
1745238766,15.03,1024,56,6.33,100,10000,3.09,130,1,1,1,2
1745239358,15.37,1024,54,6.12,100,10000,2.1,120,1,1,1,2
1745241786,16.01,1024,51,5.89,100,10000,2.06,130,1,1,1,2
1745242366,16.23,1023,50,5.81,100,10000,2.1,130,1,1,1,2
1745242958,16.23,1023,50,5.81,100,10000,3.1,130,1,1,1,2
1745245386,15.9,1023,52,6.07,100,10000,2.68,155,1,1,1,2
1745245966,15.93,1023,52,6.1,100,10000,2.68,155,1,1,1,2
1745246558,15.93,1023,53,6.37,100,10000,2.68,155,1,1,1,2
