Category,Accuracy,Loss
Weather ID,97.61904761904762,2.3809523809523796
Main Label,97.02380952380952,2.9761904761904816
Description,95.83333333333334,4.166666666666657
Icon Choice,86.90476190476191,13.095238095238088
