api_call_timestamp, requested_data_timestamp, time_to_respond, status_code, status_message
2025-05-03 00:23:06, 1745036586, 1.5902, 200, OK
2025-05-03 00:23:07, 1745040186, 0.5265, 200, OK
2025-05-03 00:23:08, 1745043786, 0.3178, 200, OK
2025-05-03 00:23:08, 1745047386, 0.8909, 200, OK
2025-05-03 00:23:09, 1745050986, 0.3699, 200, OK
2025-05-03 00:23:09, 1745054586, 0.8698, 200, OK
2025-05-03 00:23:10, 1745058186, 0.8413, 200, OK
2025-05-03 00:23:11, 1745061786, 0.2668, 200, OK
2025-05-03 00:23:11, 1745065386, 0.256, 200, OK
2025-05-03 00:23:11, 1745068986, 0.2239, 200, OK
2025-05-03 00:23:12, 1745072586, 0.2125, 200, OK
2025-05-03 00:23:12, 1745076186, 0.322, 200, OK
2025-05-03 00:23:12, 1745079786, 0.2288, 200, OK
2025-05-03 00:23:12, 1745083386, 0.2121, 200, OK
2025-05-03 00:23:13, 1745086986, 0.2109, 200, OK
2025-05-03 00:23:13, 1745090586, 0.2563, 200, OK
2025-05-03 00:23:13, 1745094186, 0.3183, 200, OK
2025-05-03 00:23:13, 1745097786, 0.2253, 200, OK
2025-05-03 00:23:14, 1745101386, 0.2168, 200, OK
2025-05-03 00:23:14, 1745104986, 0.1985, 200, OK
2025-05-03 00:23:14, 1745108586, 0.4304, 200, OK
2025-05-03 00:23:15, 1745112186, 0.2269, 200, OK
2025-05-03 00:23:15, 1745115786, 0.3045, 200, OK
2025-05-03 00:23:15, 1745119386, 0.2099, 200, OK
2025-05-03 00:23:15, 1745122986, 0.2127, 200, OK
2025-05-03 00:23:15, 1745126586, 0.267, 200, OK
2025-05-03 00:23:16, 1745130186, 0.2353, 200, OK
2025-05-03 00:23:16, 1745133786, 0.2527, 200, OK
2025-05-03 00:23:16, 1745137386, 0.2317, 200, OK
2025-05-03 00:23:16, 1745140986, 0.3331, 200, OK
2025-05-03 00:23:17, 1745144586, 0.3149, 200, OK
2025-05-03 00:23:17, 1745148186, 0.2203, 200, OK
2025-05-03 00:23:17, 1745151786, 0.2176, 200, OK
2025-05-03 00:23:18, 1745155386, 0.2442, 200, OK
2025-05-03 00:23:18, 1745158986, 0.2126, 200, OK
2025-05-03 00:23:18, 1745162586, 0.2276, 200, OK
2025-05-03 00:23:18, 1745166186, 0.2222, 200, OK
2025-05-03 00:23:18, 1745169786, 0.2465, 200, OK
2025-05-03 00:23:19, 1745173386, 0.2433, 200, OK
2025-05-03 00:23:19, 1745176986, 0.2305, 200, OK
2025-05-03 00:23:19, 1745180586, 0.1991, 200, OK
2025-05-03 00:23:19, 1745184186, 0.5093, 200, OK
2025-05-03 00:23:20, 1745187786, 0.2849, 200, OK
2025-05-03 00:23:20, 1745191386, 0.2411, 200, OK
2025-05-03 00:23:20, 1745194986, 0.214, 200, OK
2025-05-03 00:23:21, 1745198586, 0.2582, 200, OK
2025-05-03 00:23:21, 1745202186, 0.2052, 200, OK
2025-05-03 00:23:21, 1745205786, 0.231, 200, OK
2025-05-03 00:23:21, 1745209386, 0.2067, 200, OK
2025-05-03 00:23:22, 1745212986, 0.238, 200, OK
2025-05-03 00:23:22, 1745216586, 0.2159, 200, OK
2025-05-03 00:23:22, 1745220186, 0.218, 200, OK
2025-05-03 00:23:22, 1745223786, 0.2805, 200, OK
2025-05-03 00:23:23, 1745227386, 0.2174, 200, OK
2025-05-03 00:23:23, 1745230986, 0.2184, 200, OK
2025-05-03 00:23:23, 1745234586, 0.2192, 200, OK
2025-05-03 00:23:23, 1745238186, 0.2137, 200, OK
2025-05-03 00:23:23, 1745241786, 0.2031, 200, OK
2025-05-03 00:23:24, 1745245386, 0.2284, 200, OK
2025-05-03 00:23:24, 1745248986, 0.2344, 200, OK
2025-05-03 00:23:24, 1745252586, 0.3728, 200, OK
2025-05-03 00:23:24, 1745256186, 0.3057, 200, OK
2025-05-03 00:23:25, 1745259786, 0.2291, 200, OK
2025-05-03 00:23:25, 1745263386, 0.2267, 200, OK
